year,city,country,avg_temp,sevenDayMA,FiveYearMA,TenYearMA
1980,Chicago,United States,10.05,10.04285714,9.826,10.182
1981,Chicago,United States,10.54,10.07,9.976,10.178
1982,Chicago,United States,9.99,9.951428571,9.882,10.238
1983,Chicago,United States,10.94,10.11571429,10.178,10.177
1984,Chicago,United States,10.66,10.14428571,10.436,10.208
1985,Chicago,United States,10.11,10.23714286,10.448,10.137
1986,Chicago,United States,10.82,10.44428571,10.504,10.24
1987,Chicago,United States,12.04,10.72857143,10.914,10.398
1988,Chicago,United States,10.86,10.77428571,10.898,10.538
1989,Chicago,United States,9.8,10.74714286,10.726,10.581
1990,Chicago,United States,11.5,10.82714286,11.004,10.726
1991,Chicago,United States,11.58,10.95857143,11.156,10.83
1992,Chicago,United States,10.24,10.97714286,10.796,10.855
1993,Chicago,United States,10.18,10.88571429,10.66,10.779
1994,Chicago,United States,10.56,10.67428571,10.812,10.769
1995,Chicago,United States,10.57,10.63285714,10.626,10.815
1996,Chicago,United States,9.56,10.59857143,10.222,10.689
1997,Chicago,United States,10.14,10.40428571,10.202,10.499
1998,Chicago,United States,12.81,10.58,10.728,10.694
1999,Chicago,United States,11.72,10.79142857,10.96,10.886
2000,Chicago,United States,11.09,10.92142857,11.064,10.845
2001,Chicago,United States,11.7,11.08428571,11.492,10.857
2002,Chicago,United States,11.53,11.22142857,11.77,10.986
2003,Chicago,United States,10.48,11.35285714,11.304,11.016
2004,Chicago,United States,10.94,11.46714286,11.148,11.054
2005,Chicago,United States,11.58,11.29142857,11.246,11.155
2006,Chicago,United States,11.87,11.31285714,11.28,11.386
2007,Chicago,United States,11.45,11.36428571,11.264,11.517
2008,Chicago,United States,10.24,11.15571429,11.216,11.26
2009,Chicago,United States,10.3,10.98,11.088,11.118
2010,Chicago,United States,11.82,11.17142857,11.136,11.191
2011,Chicago,United States,11.21,11.21,11.004,11.142
2012,Chicago,United States,12.82,11.38714286,11.278,11.271
2013,Chicago,United States,11.59,11.34714286,11.548,11.382
